transform,assigner,accuracy,imbalance_ratio,gini_coefficient,class_distribution,num_classes,generation_time,assignment_time,classification_time,total_time,value_range,value_std
polynomial,rank,0.22,1.0100502512562815,0.0016000000000000014,[201 200 200 200 201 199 200 200 200 199],10,1.5607404708862305,0.0014116764068603516,1.0783536434173584,2.640505790710449,13.094296,0.9370959
polynomial,value,0.9,inf,0.8333999999999999,[   0    0    0    6 1717   65   72   33   13   94],7,0.4809298515319824,0.001062154769897461,1.0653135776519775,1.5473055839538574,9.690793,0.6611681
polynomial,piecewise,0.5825,inf,0.747,[   0   33    0 1028    0  788    0   55   96],5,0.5110650062561035,0.03590989112854004,0.8072242736816406,1.3541991710662842,14.652154,0.80119365
polynomial,random_region,0.995,inf,0.8862222222222222,[   0    3 1989    0    0    4    0    2    2],5,0.5404164791107178,0.020734548568725586,0.3427152633666992,0.9038662910461426,14.584745,0.9286765
polynomial,step_function,0.95,1948.0,0.8891,[   1 1948   36    3    3    2    3    2    1    1],10,0.4870338439941406,0.0007028579711914062,0.655034065246582,1.142770767211914,11.170807,0.69964904
rbf,rank,0.5575,1.0100502512562815,0.0009000000000000341,[201 200 200 200 200 200 200 200 200 199],10,0.35918712615966797,0.0007712841033935547,0.582108736038208,0.9420671463012695,6.1219716,0.65515566
rbf,value,0.46,24.333333333333332,0.3753,[265  27 228  51 438 293  18 338 171 171],10,0.48123955726623535,0.0006482601165771484,0.592047929763794,1.0739357471466064,4.5198045,0.7156651
rbf,piecewise,0.7775,inf,0.8521000000000001,[  55    0    0    0    0    0  369    0    0 1576],3,0.5193619728088379,0.027111291885375977,0.5330328941345215,1.0795061588287354,10.797996,0.7771451
rbf,random_region,0.91,inf,0.7782,[1145    0    0  527   31  295    0    0    0    2],5,0.3594551086425781,0.02356743812561035,0.5145366191864014,0.8975591659545898,6.304226,0.6020274
rbf,step_function,0.5375,inf,0.6668000000000001,[  1   0   4  46 499 811 417 154  67   1],9,0.5329797267913818,0.0005726814270019531,0.5889925956726074,1.1225450038909912,6.2176514,0.80722654
multi_modal,rank,0.47,1.0100502512562815,0.0009000000000000341,[201 200 200 200 200 200 200 200 200 199],10,0.5173137187957764,0.0007801055908203125,0.6673083305358887,1.1854021549224854,3.5650105,0.88034815
